Country,Store,Name,Date,EOD_Start,EOD_Finish,EOD_Duration,Backup_Start,Backup_end,Replication_Start,Replication_End,Replication_Duration,Deployment_Start,Deployment_End,Dep_Duration
England  UK,1674,Rothwell,18/03/2018,18/03/2018 18:03:57,18/03/2018 19:16:59,4382,18/03/2018 18:46:18,18/03/2018 19:00:44,18/03/2018 19:03:39,18/03/2018 19:08:14,275,18/03/2018 19:08:25,18/03/2018 19:11:44,199
England  UK,1754,Ilkley,18/03/2018,18/03/2018 16:09:17,0,0,18/03/2018 16:30:16,0,18/03/2018 16:31:32,18/03/2018 16:35:55,263,0,0,0
England  UK,1782,Diss,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1776,Catford,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1791,Golders Green,18/03/2018,18/03/2018 18:01:50,18/03/2018 19:09:28,4058,18/03/2018 18:22:14,18/03/2018 18:53:24,18/03/2018 18:57:00,18/03/2018 19:00:45,225,18/03/2018 19:01:16,18/03/2018 19:03:28,132
Scotland  UK,1635,Gyle Centre,18/03/2018,18/03/2018 17:50:05,18/03/2018 19:03:47,4422,18/03/2018 18:23:41,18/03/2018 18:37:55,18/03/2018 18:40:51,18/03/2018 18:45:09,258,18/03/2018 18:45:18,18/03/2018 18:48:56,218
England  UK,1798,Saffron Walden,18/03/2018,18/03/2018 16:08:44,18/03/2018 17:12:49,3845,18/03/2018 16:37:41,18/03/2018 16:55:14,18/03/2018 16:58:39,18/03/2018 17:03:30,291,18/03/2018 17:03:44,18/03/2018 17:07:08,204
England  UK,1815,St Annes,18/03/2018,18/03/2018 16:06:55,18/03/2018 17:34:05,5230,18/03/2018 16:27:28,18/03/2018 17:12:38,18/03/2018 17:17:14,18/03/2018 17:22:20,306,18/03/2018 17:22:31,18/03/2018 17:25:32,181
Scotland  UK,1762,Leith,18/03/2018,18/03/2018 17:21:38,18/03/2018 18:31:51,4213,18/03/2018 17:42:14,18/03/2018 18:12:17,18/03/2018 18:16:43,18/03/2018 18:21:15,272,18/03/2018 18:21:40,18/03/2018 18:24:28,168
England  UK,1801,Surbiton,18/03/2018,18/03/2018 16:50:03,18/03/2018 17:56:15,3972,18/03/2018 17:21:53,18/03/2018 17:35:31,18/03/2018 17:38:26,18/03/2018 17:43:10,284,18/03/2018 17:43:36,18/03/2018 17:47:06,210
England  UK,1638,Beaumont Leys,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1814,Bitterne,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1817,Rushden,18/03/2018,18/03/2018 16:48:29,18/03/2018 18:34:39,6370,18/03/2018 17:09:06,18/03/2018 18:03:59,18/03/2018 18:11:56,18/03/2018 18:18:10,374,18/03/2018 18:19:24,18/03/2018 18:24:06,282
Scotland  UK,1822,Leven,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1829,Crouch End,18/03/2018,18/03/2018 17:46:23,0,0,18/03/2018 18:06:57,0,18/03/2018 18:11:02,18/03/2018 18:15:04,242,0,0,0
Scotland  UK,1836,Stonehaven,18/03/2018,18/03/2018 15:13:40,18/03/2018 16:10:41,3421,18/03/2018 15:34:05,18/03/2018 15:58:35,18/03/2018 16:00:50,18/03/2018 16:03:35,165,18/03/2018 16:03:53,18/03/2018 16:05:23,90
England  UK,1812,Banstead,18/03/2018,18/03/2018 17:09:05,18/03/2018 17:54:41,2736,18/03/2018 17:37:24,18/03/2018 17:44:00,18/03/2018 17:44:55,18/03/2018 17:47:14,139,18/03/2018 17:47:36,18/03/2018 17:48:07,31
England  UK,1796,Portishead,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1841,Ashby de la Zouch,18/03/2018,18/03/2018 16:05:08,18/03/2018 16:46:21,2473,18/03/2018 16:26:11,18/03/2018 16:35:38,18/03/2018 16:37:23,18/03/2018 16:40:40,197,18/03/2018 16:40:50,18/03/2018 16:42:44,114
England  UK,1834,Marlborough,18/03/2018,18/03/2018 14:08:23,18/03/2018 14:49:47,2484,18/03/2018 14:34:23,18/03/2018 14:42:59,18/03/2018 14:43:54,18/03/2018 14:46:14,140,18/03/2018 14:46:33,18/03/2018 14:47:08,35
England  UK,1846,Strand,18/03/2018,18/03/2018 17:03:12,0,0,18/03/2018 17:35:01,0,18/03/2018 17:36:46,18/03/2018 17:41:10,264,0,0,0
England  UK,1847,Eccles,18/03/2018,18/03/2018 16:00:07,0,0,18/03/2018 16:20:40,0,18/03/2018 16:24:56,18/03/2018 16:29:05,249,0,0,0
England  UK,1835,Minehead,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1856,Wickford,18/03/2018,18/03/2018 16:46:56,18/03/2018 17:52:23,3927,18/03/2018 17:15:45,18/03/2018 17:24:00,18/03/2018 17:26:25,18/03/2018 17:31:06,281,18/03/2018 17:31:26,18/03/2018 17:34:53,207
England  UK,1854,Woodbridge,18/03/2018,18/03/2018 17:10:59,18/03/2018 18:35:01,5042,18/03/2018 17:42:39,18/03/2018 18:05:36,18/03/2018 18:08:31,18/03/2018 18:13:30,299,18/03/2018 18:13:49,18/03/2018 18:17:01,192
England  UK,1859,Alton,18/03/2018,18/03/2018 15:11:00,18/03/2018 16:08:10,3430,18/03/2018 15:40:17,18/03/2018 15:52:03,18/03/2018 15:54:29,18/03/2018 15:59:19,290,18/03/2018 15:59:39,18/03/2018 16:03:15,216
England  UK,1878,Rickmansworth,18/03/2018,18/03/2018 16:11:41,0,0,18/03/2018 16:32:15,0,18/03/2018 16:35:11,18/03/2018 16:38:30,199,0,0,0
England  UK,1889,Saltash,18/03/2018,18/03/2018 15:31:46,18/03/2018 17:34:23,7357,18/03/2018 15:52:53,18/03/2018 16:44:10,18/03/2018 16:50:46,18/03/2018 16:54:30,224,18/03/2018 16:55:11,18/03/2018 16:57:28,137
Scotland  UK,1891,Sauchiehall ,18/03/2018,18/03/2018 18:38:20,0,0,18/03/2018 19:00:07,0,18/03/2018 19:12:04,18/03/2018 19:17:20,316,0,0,0
England  UK,1883,March,18/03/2018,18/03/2018 15:04:00,18/03/2018 15:47:26,2606,18/03/2018 15:24:52,18/03/2018 15:38:59,18/03/2018 15:40:04,18/03/2018 15:43:20,196,18/03/2018 15:43:30,18/03/2018 15:44:38,68
England  UK,1879,Chiswick,18/03/2018,18/03/2018 17:35:16,18/03/2018 18:19:28,2652,18/03/2018 17:56:10,18/03/2018 18:05:25,18/03/2018 18:07:40,18/03/2018 18:12:00,260,18/03/2018 18:12:05,18/03/2018 18:14:59,174
Scotland  UK,1897,Cameron Toll,18/03/2018,18/03/2018 17:55:25,18/03/2018 19:32:14,5809,18/03/2018 18:00:14,18/03/2018 18:58:37,18/03/2018 19:06:43,18/03/2018 19:10:49,246,18/03/2018 19:11:08,18/03/2018 19:13:50,162
Scotland  UK,1896,Newlands,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1912,Bourne,18/03/2018,18/03/2018 16:07:48,18/03/2018 16:52:13,2665,18/03/2018 16:34:44,18/03/2018 16:43:02,18/03/2018 16:44:17,18/03/2018 16:47:30,193,18/03/2018 16:47:46,18/03/2018 16:49:14,88
